"study","n","nGene","nSel","MAE","medErr","nAUC","pct2h","K"
"V1",286,75,68,2.25145070123164,1.68604412717987,0.822698135198135,58.041958041958,75
"V2",249,75,68,2.08844486616956,1.7682065480095,0.83609437751004,55.8232931726908,75
"V3",153,75,68,2.11616497341043,1.82081522043844,0.833877995642701,56.8627450980392,75
"Valid.all",688,75,68,2.16237051331434,1.75167149254355,0.830032703488372,56.9767441860465,75
"V1",286,100,81,2.84654708967889,2.07215665209574,0.772654428904429,48.2517482517483,100
"V2",249,100,81,2.00229094242279,1.66397691646773,0.843791834002677,58.2329317269076,100
"V3",153,100,81,2.2846515915677,1.77334510670807,0.819444444444445,56.2091503267974,100
"Valid.all",688,100,81,2.41603867125188,1.81166893424264,0.808805717054263,53.6337209302326,100
"V1",286,150,102,2.74553663771541,1.92944879314014,0.781687062937063,51.0489510489511,150
"V2",249,150,102,1.82780875106869,1.48892878847334,0.858182730923695,63.855421686747,150
"V3",153,150,102,2.7746571079969,2.26799377141976,0.778458605664488,47.7124183006536,150
"Valid.all",688,150,102,2.4198697600672,1.85587497157409,0.808654312015504,54.9418604651163,150
"V1",286,200,120,2.62433747147909,1.91198409127191,0.791448135198135,51.3986013986014,200
"V2",249,200,120,1.78777604747254,1.44589739869823,0.861947791164659,69.0763052208835,200
"V3",153,200,120,2.60891999355239,2.09022259522446,0.792347494553377,45.0980392156863,200
"Valid.all",688,200,120,2.31814173208895,1.73055461360077,0.817163275193799,56.3953488372093,200
"V1",286,300,114,2.68085330570837,2.14286274921714,0.787077505827506,46.8531468531469,300
"V2",249,300,114,1.76742859663841,1.42854192154231,0.86320281124498,67.4698795180723,300
"V3",153,300,114,2.6165196475976,2.16913581058425,0.792892156862745,43.1372549019608,300
"Valid.all",688,300,114,2.33596115127615,1.82481886007177,0.815921753875969,53.4883720930233,300
"V1",286,500,151,2.76005749883678,1.95240386570137,0.780011655011655,50.6993006993007,500
"V2",249,500,151,1.68211530555359,1.46685355024455,0.870398259705489,69.0763052208835,500
"V3",153,500,151,3.27249868205645,2.82890251467746,0.738289760348584,37.2549019607843,500
"Valid.all",688,500,151,2.48388874143139,1.82270831848637,0.80344597868217,54.3604651162791,500
"V1",286,1000,175,2.47425845968146,2.02380951572626,0.803904428904429,49.3006993006993,1000
"V2",249,1000,175,1.74016832086134,1.4886039175557,0.865461847389558,67.8714859437751,1000
"V3",153,1000,175,2.04628514072875,1.70290211939625,0.839460784313726,57.516339869281,1000
"Valid.all",688,1000,175,2.11340328182394,1.67388607268098,0.834090358527132,57.8488372093023,1000
"V1",286,2000,136,2.17145094489522,1.6222693858065,0.829691142191142,59.7902097902098,2000
"V2",249,2000,136,1.69299475338718,1.49468153280985,0.86989625167336,67.0682730923695,2000
"V3",153,2000,136,2.10660412438735,1.90580226874361,0.834967320261438,50.9803921568627,2000
"Valid.all",688,2000,136,1.98386787044288,1.62825469453304,0.845415455426357,60.4651162790698,2000
"V1",286,7615,173,2.06597558523688,1.58444001396523,0.83784965034965,61.1888111888112,7615
"V2",249,7615,173,1.68589325554667,1.6338507231627,0.869394243641232,67.4698795180723,7615
"V3",153,7615,173,1.87410263312389,1.84692448376698,0.854575163398693,55.5555555555556,7615
"Valid.all",688,7615,173,1.88574729778608,1.65923174347912,0.852985707364341,62.2093023255814,7615
